department,focus_group,expectations,processed_text,source,sentiment,title,Category,Category_Method,Category_Confidence
BAA,BAA ALJs,"Allow date, user to propagate","Allow date, user to propagate",worksheet,positive,"Allow date, user to propagate",Scheduling & Resource Management,semantic_fallback,0.18027447164058685
BAA,BAA ALJs,Easier navigation,Easier navigation,worksheet,positive,Easier navigation,User Experience & Performance,keyword_semantic_agree,3.260107606649399
BAA,BAA ALJs,Streamlined data input,Streamlined data input,worksheet,positive,Streamlined data input,Workflow & Business Processes,semantic,0.38091719150543213
BAA,BAA ALJs,Up front learning curve should be easier,Up front learning curve should be easier,worksheet,positive,Up front learning curve should be easier,Training & Documentation,semantic_fallback,0.22091196477413177
BAA,BAA ALJs,Centralized dropdown like AIMS: Owner to properties to cases to violations,Centralized dropdown like AIMS: Owner to properties to cases to violations,worksheet,negative,Centralized dropdown like AIMS,System Integration,title_keyword,4.0
BAA,BAA ALJs,Case -> violations number (drop down but searchable by violation number),Case -> violations number (drop down but searchable by violation number),worksheet,negative,Case -> violations number (drop down but searchable by violation number),Case Management,title_keyword,8.0
BAA,BAA ALJs,Autogenerate common decisions with and edit feature,Autogenerate common decisions with and edit feature,worksheet,positive,Autogenerate common decisions with and edit feature,Workflow & Business Processes,semantic_fallback,0.2405892163515091
BAA,BAA ALJs,"Overview page: violation issued, violation status, date resolve","Overview page: violation issued, violation status, date resolve",worksheet,negative,Overview page,Case Management,keyword,5.0
BAA,BAA ALJs,Property sold but sometimes don't open violations disappear. Gets confusing with new names and new citations same violations,Property sold but sometimes don't open violations disappear. Gets confusing with new names and new citations same violations,worksheet,negative,Property sold but sometimes don't open violations disappear. Gets confusing with new names and new citations same violations,Case Management,title_keyword,8.0
BAA,BAA ALJs,Payments tab should include a tracker like AIMS showing the changes and why (comment) and by which user,Payments tab should include a tracker like AIMS showing the changes and why (comment) and by which user,worksheet,positive,Payments tab should include a tracker like AIMS showing the changes and why (comment) and by which user,System Integration,title_keyword,4.0
BAA,BAA ALJs,Tracking with USPS tracking number -? A way too automatically do this,Tracking with USPS tracking number -? A way too automatically do this,worksheet,negative,Tracking with USPS tracking number -? A way too automatically do this,Records & Document Management,semantic_fallback,0.17243558168411255
BAA,BAA ALJs,Instead of having to download emails and manually uploading them -> drag and drop for attachments,Instead of having to download emails and manually uploading them -> drag and drop for attachments,worksheet,negative,Instead of having to download emails and manually uploading them -> drag and drop for attachments,Records & Document Management,title_keyword,5.0
BAA,BAA ALJs,Built-in recording system – automatic,Built-in recording system – automatic,worksheet,positive,Built-in recording system – automatic,Records & Document Management,keyword_semantic_agree,2.2541842460632324
BAA,BAA ALJs,Application for codes to input information immediately.,Application for codes to input information immediately.,worksheet,negative,Application for codes to input information immediately.,Case Management,title_keyword,4.0
BAA,BAA ALJs,An adjudication specific module,An adjudication specific module,worksheet,positive,An adjudication specific module,User Experience & Performance,title_keyword,4.0
BAA,BAA ALJs,Better designation of fines / fees and which violation it is associated with,Better designation of fines / fees and which violation it is associated with,worksheet,positive,Better designation of fines / fees and which violation it is associated with,Workflow & Business Processes,keyword_low,3.0
BAA,BAA ALJs,Better layout and more intuitive UI,Better layout and more intuitive UI,worksheet,positive,Better layout and more intuitive UI,User Experience & Performance,semantic,0.38219213485717773
BAA,BAA Operations,Case notes together like in alta via.,Case notes together like in alta via.,worksheet,negative,Case notes together like in alta via.,Records & Document Management,keyword_low,3.0
BAA,BAA Operations,Easier to find information like reservice / notes,Easier to find information like reservice / notes,worksheet,negative,Easier to find information like reservice / notes,Records & Document Management,keyword_semantic_agree,6.4420139491558075
BAA,BAA Operations,We dont need 30 different green shades but i do like different color for different department,We dont need 30 different green shades but i do like different color for different department,worksheet,positive,We dont need 30 different green shades but i do like different color for different department,Communication & Collaboration,keyword_low,3.0
BAA,BAA Operations,Be able to type in different action types instead of just “case notes”,Be able to type in different action types instead of just “case notes”,worksheet,positive,Be able to type in different action types instead of just “case notes”,Records & Document Management,keyword_low,3.0
BAA,BAA Operations,Wrap text instead of sliding the bar all the way over,Wrap text instead of sliding the bar all the way over,worksheet,negative,Wrap text instead of sliding the bar all the way over,Communication & Collaboration,semantic_fallback,0.05132519453763962
BAA,BAA Operations,A recently viewed ability would be amazing,A recently viewed ability would be amazing,worksheet,positive,A recently viewed ability would be amazing,Data Management & Visibility,semantic_fallback,0.19054356217384338
BAA,BAA Operations,If we could search by address that would be so much more efficient,If we could search by address that would be so much more efficient,worksheet,positive,If we could search by address that would be so much more efficient,Records & Document Management,keyword_semantic_agree,6.326656401157379
BAA,BAA Operations,To check if rental registry have been applied for and obtained (people lie about this all the time),To check if rental registry have been applied for and obtained (people lie about this all the time),worksheet,negative,To check if rental registry have been applied for and obtained (people lie about this all the time),Records & Document Management,semantic,0.4210083782672882
